frame,id,timestamp(s),accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,eulerRoll,eulerPitch,eulerYaw,quatW,quatX,quatY,quatZ,
1,1,25348.984,-0.049,0.096,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
2,1,25348.994,-0.045,0.092,0.987,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
3,1,25349.004,-0.042,0.086,0.988,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
4,1,25349.014,-0.046,0.092,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
5,1,25349.024,-0.051,0.094,0.983,0.0,0.0,0.0,12,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
6,1,25349.034,-0.046,0.091,0.983,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
7,1,25349.044,-0.043,0.087,0.986,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
8,1,25349.054,-0.047,0.09,0.99,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
9,1,25349.064,-0.048,0.093,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
10,1,25349.074,-0.048,0.089,0.988,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
11,1,25349.084,-0.042,0.088,0.987,0.0,0.0,0.0,12,-11,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
12,1,25349.094,-0.045,0.09,0.985,0.0,0.0,0.0,12,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
13,1,25349.104,-0.051,0.093,0.984,0.0,0.0,0.0,13,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
14,1,25349.114,-0.046,0.09,0.989,0.0,0.0,0.0,13,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
15,1,25349.124,-0.045,0.087,0.99,0.0,0.0,0.0,13,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
16,1,25349.134,-0.048,0.091,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
17,1,25349.144,-0.049,0.091,0.985,0.0,0.0,0.0,12,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
18,1,25349.154,-0.047,0.089,0.985,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
19,1,25349.164,-0.044,0.089,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
20,1,25349.174,-0.049,0.092,0.985,0.0,0.0,0.0,13,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
21,1,25349.184,-0.049,0.096,0.984,0.0,0.0,0.0,13,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
22,1,25349.194,-0.043,0.089,0.987,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
23,1,25349.204,-0.043,0.087,0.989,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
24,1,25349.214,-0.049,0.09,0.983,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
25,1,25349.224,-0.049,0.092,0.983,0.0,0.0,0.0,13,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
26,1,25349.234,-0.047,0.086,0.987,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
27,1,25349.244,-0.046,0.088,0.989,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
28,1,25349.254,-0.045,0.095,0.984,0.0,0.0,0.0,12,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
29,1,25349.264,-0.047,0.091,0.985,0.0,0.0,0.0,12,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
30,1,25349.274,-0.046,0.088,0.989,0.0,0.0,0.0,13,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
31,1,25349.284,-0.048,0.089,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
32,1,25349.294,-0.047,0.092,0.985,0.0,0.0,0.0,12,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
33,1,25349.304,-0.048,0.091,0.985,0.0,0.0,0.0,13,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
34,1,25349.314,-0.044,0.089,0.987,0.0,0.0,0.0,13,-12,-15,2.69,5.2,2.45,0.998,0.045,0.024,0.022,
35,1,25349.324,-0.046,0.089,0.988,0.0,0.0,0.0,12,-11,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
36,1,25349.334,-0.046,0.089,0.983,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
37,1,25349.344,-0.047,0.092,0.985,0.0,0.0,0.0,12,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
38,1,25349.354,-0.046,0.089,0.989,0.0,0.0,0.0,12,-12,-15,2.69,5.2,2.45,0.998,0.045,0.024,0.022,
39,1,25349.364,-0.041,0.087,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
40,1,25349.374,-0.045,0.092,0.981,0.0,0.0,0.0,13,-11,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
41,1,25349.384,-0.045,0.09,0.986,0.0,0.0,0.0,13,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
42,1,25349.394,-0.046,0.088,0.986,0.0,0.0,0.0,13,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
43,1,25349.404,-0.047,0.089,0.983,0.0,0.0,0.0,13,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
44,1,25349.414,-0.049,0.089,0.984,0.0,0.0,0.0,13,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
45,1,25349.424,-0.047,0.091,0.986,0.0,0.0,0.0,13,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
46,1,25349.434,-0.047,0.089,0.989,0.0,0.0,0.0,12,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
47,1,25349.444,-0.047,0.089,0.988,0.0,0.0,0.0,12,-11,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
48,1,25349.454,-0.046,0.092,0.986,0.0,0.0,0.0,12,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
49,1,25349.464,-0.045,0.091,0.984,0.0,0.0,0.0,12,-12,-16,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
50,1,25349.474,-0.046,0.089,0.985,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
51,1,25349.484,-0.047,0.091,0.989,0.0,0.0,0.0,13,-12,-15,2.68,5.2,2.45,0.998,0.045,0.024,0.022,
52,1,25349.494,-0.046,0.091,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
53,1,25349.504,-0.048,0.09,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
54,1,25349.514,-0.044,0.091,0.984,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
55,1,25349.524,-0.047,0.091,0.987,0.0,0.0,0.0,13,-11,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
56,1,25349.534,-0.045,0.089,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
57,1,25349.544,-0.047,0.091,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
58,1,25349.554,-0.046,0.092,0.986,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
59,1,25349.564,-0.045,0.089,0.987,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
60,1,25349.574,-0.047,0.09,0.987,0.0,0.0,0.0,13,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
61,1,25349.584,-0.044,0.091,0.984,0.0,0.0,0.0,13,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
62,1,25349.594,-0.046,0.091,0.987,0.0,0.0,0.0,13,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
63,1,25349.604,-0.047,0.089,0.99,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
64,1,25349.614,-0.046,0.087,0.987,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
65,1,25349.624,-0.047,0.092,0.984,0.0,0.0,0.0,13,-12,-15,2.67,5.21,2.45,0.998,0.045,0.024,0.022,
66,1,25349.634,-0.048,0.09,0.986,0.0,0.0,0.0,12,-11,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
67,1,25349.644,-0.047,0.089,0.987,0.0,0.0,0.0,12,-11,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
68,1,25349.654,-0.045,0.09,0.988,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
69,1,25349.664,-0.048,0.092,0.984,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
70,1,25349.674,-0.046,0.09,0.983,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
71,1,25349.684,-0.045,0.09,0.989,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
72,1,25349.694,-0.046,0.09,0.988,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
73,1,25349.704,-0.047,0.093,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
74,1,25349.714,-0.045,0.091,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
75,1,25349.724,-0.044,0.089,0.989,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
76,1,25349.734,-0.048,0.092,0.984,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
77,1,25349.744,-0.047,0.091,0.984,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
78,1,25349.754,-0.046,0.092,0.984,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
79,1,25349.764,-0.044,0.087,0.989,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
80,1,25349.774,-0.046,0.088,0.985,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
81,1,25349.784,-0.051,0.092,0.985,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
82,1,25349.794,-0.047,0.092,0.983,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
83,1,25349.804,-0.043,0.086,0.988,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
84,1,25349.814,-0.046,0.092,0.987,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
85,1,25349.824,-0.049,0.094,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
86,1,25349.835,-0.047,0.09,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
87,1,25349.845,-0.042,0.086,0.99,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
88,1,25349.855,-0.049,0.091,0.982,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
89,1,25349.865,-0.047,0.092,0.984,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
90,1,25349.875,-0.048,0.087,0.989,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
91,1,25349.885,-0.042,0.088,0.988,0.0,0.0,0.0,13,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
92,1,25349.895,-0.05,0.091,0.983,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
93,1,25349.905,-0.048,0.093,0.984,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
94,1,25349.915,-0.047,0.089,0.987,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
95,1,25349.925,-0.045,0.087,0.99,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
96,1,25349.934,-0.044,0.094,0.984,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
97,1,25349.944,-0.048,0.09,0.986,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
98,1,25349.954,-0.043,0.09,0.99,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
99,1,25349.964,-0.044,0.09,0.987,0.0,0.0,0.0,13,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
100,1,25349.974,-0.048,0.092,0.984,0.0,0.0,0.0,12,-11,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
101,1,25349.985,-0.047,0.091,0.982,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
102,1,25349.994,-0.043,0.09,0.987,0.0,0.0,0.0,12,-11,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
103,1,25350.004,-0.046,0.089,0.989,0.0,0.0,0.0,12,-11,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
104,1,25350.014,-0.046,0.089,0.983,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
105,1,25350.025,-0.049,0.092,0.983,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
106,1,25350.035,-0.046,0.086,0.988,0.0,0.0,0.0,12,-11,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
107,1,25350.045,-0.046,0.086,0.988,0.0,0.0,0.0,13,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
108,1,25350.055,-0.047,0.094,0.983,0.0,0.0,0.0,12,-11,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
109,1,25350.065,-0.046,0.091,0.985,0.0,0.0,0.0,13,-11,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
110,1,25350.075,-0.046,0.085,0.99,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
111,1,25350.085,-0.047,0.091,0.988,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
112,1,25350.095,-0.045,0.091,0.984,0.0,0.0,0.0,12,-11,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
113,1,25350.105,-0.046,0.09,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
114,1,25350.115,-0.045,0.089,0.99,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
115,1,25350.125,-0.046,0.093,0.99,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
116,1,25350.135,-0.047,0.091,0.984,0.0,0.0,0.0,12,-11,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
117,1,25350.145,-0.047,0.091,0.986,0.0,0.0,0.0,13,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
118,1,25350.155,-0.045,0.088,0.989,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
119,1,25350.165,-0.047,0.089,0.985,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
120,1,25350.175,-0.046,0.088,0.984,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
121,1,25350.185,-0.044,0.091,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
122,1,25350.195,-0.046,0.091,0.988,0.0,0.0,0.0,13,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
123,1,25350.205,-0.05,0.091,0.984,0.0,0.0,0.0,13,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
124,1,25350.215,-0.047,0.09,0.986,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
125,1,25350.225,-0.045,0.089,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
126,1,25350.235,-0.044,0.088,0.987,0.0,0.0,0.0,13,-12,-16,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
127,1,25350.245,-0.047,0.088,0.987,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
128,1,25350.255,-0.049,0.093,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
129,1,25350.265,-0.045,0.089,0.985,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
130,1,25350.275,-0.044,0.087,0.987,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
131,1,25350.285,-0.045,0.092,0.984,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
132,1,25350.295,-0.048,0.093,0.987,0.0,0.0,0.0,13,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
133,1,25350.305,-0.045,0.088,0.989,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
134,1,25350.315,-0.044,0.09,0.984,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
135,1,25350.325,-0.048,0.096,0.986,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
136,1,25350.335,-0.047,0.089,0.988,0.0,0.0,0.0,12,-11,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
137,1,25350.345,-0.045,0.089,0.984,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
138,1,25350.355,-0.049,0.092,0.982,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
139,1,25350.365,-0.045,0.09,0.986,0.0,0.0,0.0,13,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
140,1,25350.375,-0.046,0.089,0.989,0.0,0.0,0.0,13,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
141,1,25350.385,-0.048,0.09,0.984,0.0,0.0,0.0,13,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
142,1,25350.395,-0.048,0.092,0.983,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
143,1,25350.405,-0.045,0.089,0.985,0.0,0.0,0.0,13,-12,-16,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
144,1,25350.415,-0.047,0.093,0.985,0.0,0.0,0.0,13,-12,-16,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
145,1,25350.425,-0.049,0.093,0.984,0.0,0.0,0.0,12,-12,-15,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
146,1,25350.435,-0.042,0.089,0.984,0.0,0.0,0.0,13,-12,-16,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
147,1,25350.445,-0.048,0.092,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
148,1,25350.455,-0.049,0.093,0.983,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
149,1,25350.465,-0.049,0.09,0.987,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
150,1,25350.475,-0.045,0.092,0.984,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
151,1,25350.485,-0.044,0.09,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
152,1,25350.495,-0.047,0.09,0.985,0.0,0.0,0.0,12,-11,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
153,1,25350.505,-0.048,0.091,0.985,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
154,1,25350.515,-0.048,0.091,0.988,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
155,1,25350.525,-0.046,0.09,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
156,1,25350.535,-0.048,0.092,0.989,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
157,1,25350.545,-0.049,0.093,0.983,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
158,1,25350.555,-0.045,0.088,0.987,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
159,1,25350.565,-0.044,0.089,0.987,0.0,0.0,0.0,13,-12,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
160,1,25350.575,-0.045,0.092,0.986,0.0,0.0,0.0,12,-12,-16,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
161,1,25350.585,-0.05,0.092,0.982,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
162,1,25350.595,-0.047,0.09,0.989,0.0,0.0,0.0,12,-11,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
163,1,25350.605,-0.046,0.089,0.986,0.0,0.0,0.0,12,-12,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
164,1,25350.615,-0.048,0.091,0.984,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
165,1,25350.625,-0.046,0.09,0.986,0.0,0.0,0.0,12,-12,-16,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
166,1,25350.635,-0.046,0.09,0.988,0.0,0.0,0.0,12,-11,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
167,1,25350.645,-0.044,0.088,0.988,0.0,0.0,0.0,12,-12,-16,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
168,1,25350.655,-0.047,0.091,0.985,0.0,0.0,0.0,12,-12,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
169,1,25350.665,-0.044,0.091,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
170,1,25350.675,-0.045,0.086,0.989,0.0,0.0,0.0,13,-12,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
171,1,25350.685,-0.048,0.089,0.988,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
172,1,25350.695,-0.047,0.092,0.982,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
173,1,25350.705,-0.044,0.091,0.986,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
174,1,25350.715,-0.046,0.088,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
175,1,25350.725,-0.045,0.09,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
176,1,25350.735,-0.05,0.092,0.984,0.0,0.0,0.0,13,-11,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
177,1,25350.745,-0.048,0.091,0.984,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
178,1,25350.755,-0.045,0.087,0.989,0.0,0.0,0.0,13,-12,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
179,1,25350.765,-0.048,0.09,0.984,0.0,0.0,0.0,13,-12,-15,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
180,1,25350.775,-0.049,0.09,0.983,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
181,1,25350.785,-0.047,0.091,0.983,0.0,0.0,0.0,12,-12,-16,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
182,1,25350.795,-0.042,0.089,0.99,0.0,0.0,0.0,12,-11,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
