,DateTime,Time,Position_X(mm),Position_Y(mm),Position_Z(mm),R_X(deg),R_Y(deg),R_Z(deg)
0,2023-06-05-22:39:57,22:39:57,723.086,54.302,379.545,-167.291,-80.0475,-8.598700000000001
1,2023-06-05-22:39:58,22:39:58,730.1,72.261,345.694,-167.37470000000002,-76.9038,-7.293
2,2023-06-05-22:39:59,22:39:59,735.083,90.8,310.952,-167.4916,-73.6909,-5.9642
3,2023-06-05-22:39:59,22:39:59,737.85,109.369,276.195,-167.6296,-70.4807,-4.6543
4,2023-06-05-22:40:00,22:40:00,738.423,127.82900000000001,241.5,-167.79160000000002,-67.2718,-3.361
5,2023-06-05-22:40:00,22:40:00,736.815,146.175,206.69400000000002,-167.9884,-64.0434,-2.0665
6,2023-06-05-22:40:01,22:40:01,733.049,164.151,172.148,-168.2074,-60.8186,-0.7923
7,2023-06-05-22:40:01,22:40:01,727.335,181.233,138.696,-168.44740000000002,-57.6696,0.43620000000000003
8,2023-06-05-22:40:02,22:40:02,719.535,197.959,105.147,-168.7217,-54.4786,1.6702000000000001
9,2023-06-05-22:40:02,22:40:02,709.706,214.064,71.83200000000001,-169.0266,-51.267,2.8948
10,2023-06-05-22:40:03,22:40:03,697.991,229.299,39.12,-169.3613,-48.063,4.099600000000001
11,2023-06-05-22:40:03,22:40:03,684.788,243.26500000000001,7.776,-169.7201,-44.9375,5.2613
12,2023-06-05-22:40:04,22:40:04,669.596,256.5,-23.542,-170.118,-41.7476,6.427700000000001
13,2023-06-05-22:40:04,22:40:04,652.79,268.577,-54.057,-170.55020000000002,-38.5643,7.573
14,2023-06-05-22:40:05,22:40:05,634.782,279.267,-83.232,-171.0106,-35.4394,8.68
15,2023-06-05-22:40:05,22:40:05,615.129,288.809,-111.902,-171.5138,-32.2768,9.7776
16,2023-06-05-22:40:06,22:40:06,594.54,296.878,-139.139,-172.0466,-29.1715,10.833400000000001
17,2023-06-05-22:40:06,22:40:06,572.501,303.646,-165.726,-172.6301,-26.029300000000003,11.8819
18,2023-06-05-22:40:07,22:40:07,549.641,308.913,-190.971,-173.2492,-22.9246,12.889700000000001
19,2023-06-05-22:40:08,22:40:08,525.744,312.712,-215.211,-173.9186,-19.810000000000002,13.8742
20,2023-06-05-22:40:08,22:40:08,501.47200000000004,314.963,-237.871,-174.6251,-16.7562,14.8131
21,2023-06-05-22:40:09,22:40:09,476.421,315.713,-259.436,-175.38680000000002,-13.6942,15.7222
22,2023-06-05-22:40:09,22:40:09,450.526,314.91700000000003,-279.968,-176.2136,-10.6057,16.6051
23,2023-06-05-22:40:10,22:40:10,424.692,312.598,-298.82800000000003,-177.0851,-7.5827,17.4318
24,2023-06-05-22:40:10,22:40:10,398.848,308.81,-316.177,-178.0105,-4.6017,18.2092
25,2023-06-05-22:40:11,22:40:11,372.555,303.483,-332.35,-179.0147,-1.5996000000000001,18.947300000000002
26,2023-06-05-22:40:11,22:40:11,361.07300000000004,300.693,-338.943,-179.47560000000001,-0.29460000000000003,19.2531
27,2023-06-05-22:40:12,22:40:12,362.639,302.177,-332.124,-179.43730000000002,-0.2826,19.2548
28,2023-06-05-22:40:12,22:40:12,365.315,304.713,-319.433,-179.37300000000002,-0.2594,19.2621
29,2023-06-05-22:40:13,22:40:13,367.712,306.982,-306.722,-179.31560000000002,-0.2398,19.2695
30,2023-06-05-22:40:13,22:40:13,369.88,309.032,-293.622,-179.2641,-0.222,19.2783
31,2023-06-05-22:40:14,22:40:14,371.733,310.782,-280.634,-179.2208,-0.2063,19.288600000000002
32,2023-06-05-22:40:14,22:40:14,373.32300000000004,312.282,-267.472,-179.18380000000002,-0.19390000000000002,19.2972
33,2023-06-05-22:40:15,22:40:15,374.609,313.492,-254.43800000000002,-179.1545,-0.1835,19.3065
34,2023-06-05-22:40:16,22:40:16,375.62,314.44100000000003,-241.261,-179.13230000000001,-0.1749,19.3168
35,2023-06-05-22:40:16,22:40:16,376.342,315.11400000000003,-228.338,-179.11710000000002,-0.16970000000000002,19.3259
36,2023-06-05-22:40:17,22:40:17,376.801,315.539,-214.79500000000002,-179.1083,-0.1658,19.332900000000002
37,2023-06-05-22:40:17,22:40:17,376.961,315.682,-201.63,-179.10660000000001,-0.1642,19.3412
38,2023-06-05-22:40:18,22:40:18,376.845,315.565,-188.352,-179.1106,-0.1663,19.3438
39,2023-06-05-22:40:18,22:40:18,376.431,315.166,-174.99,-179.1224,-0.1698,19.3489
40,2023-06-05-22:40:19,22:40:19,375.747,314.514,-161.94,-179.14000000000001,-0.1749,19.348200000000002
41,2023-06-05-22:40:19,22:40:19,374.776,313.589,-148.719,-179.16420000000002,-0.1836,19.3474
42,2023-06-05-22:40:20,22:40:20,373.538,312.41700000000003,-135.736,-179.1937,-0.19440000000000002,19.3417
43,2023-06-05-22:40:20,22:40:20,371.959,310.925,-122.31,-179.23080000000002,-0.2076,19.3353
44,2023-06-05-22:40:21,22:40:21,370.156,309.226,-109.44,-179.2726,-0.22160000000000002,19.3233
45,2023-06-05-22:40:21,22:40:21,368.045,307.238,-96.45100000000001,-179.321,-0.2384,19.3098
46,2023-06-05-22:40:22,22:40:22,365.641,304.976,-83.443,-179.3749,-0.2591,19.2914
47,2023-06-05-22:40:22,22:40:22,362.947,302.45,-70.539,-179.4344,-0.27990000000000004,19.2701
48,2023-06-05-22:40:23,22:40:23,361.071,300.69100000000003,-62.32,-179.4755,-0.2952,19.2528
49,2023-06-05-22:40:24,22:40:24,364.156,296.66700000000003,-62.32,-179.47920000000002,-0.2944,19.251900000000003
50,2023-06-05-22:40:24,22:40:24,373.67900000000003,283.668,-62.315000000000005,-179.4923,-0.29350000000000004,19.253700000000002
51,2023-06-05-22:40:25,22:40:25,382.931,270.076,-62.301,-179.50410000000002,-0.2918,19.2529
52,2023-06-05-22:40:25,22:40:25,391.559,256.39,-62.303000000000004,-179.51520000000002,-0.2889,19.253800000000002
53,2023-06-05-22:40:26,22:40:26,399.82300000000004,242.221,-62.29,-179.52550000000002,-0.2864,19.2529
54,2023-06-05-22:40:26,22:40:26,407.51,227.895,-62.292,-179.5351,-0.2827,19.2523
55,2023-06-05-22:40:27,22:40:27,414.747,213.226,-62.284,-179.5437,-0.2803,19.2544
56,2023-06-05-22:40:27,22:40:27,421.35200000000003,198.53900000000002,-62.282000000000004,-179.5525,-0.2755,19.254
57,2023-06-05-22:40:28,22:40:28,427.48900000000003,183.547,-62.275,-179.5595,-0.2725,19.2534
58,2023-06-05-22:40:28,22:40:28,433.057,168.48,-62.269,-179.56570000000002,-0.2695,19.2543
59,2023-06-05-22:40:29,22:40:29,438.121,153.13400000000001,-62.268,-179.5712,-0.26430000000000003,19.253700000000002
60,2023-06-05-22:40:29,22:40:29,442.67900000000003,137.52,-62.262,-179.57600000000002,-0.261,19.2528
61,2023-06-05-22:40:30,22:40:30,446.616,122.014,-62.267,-179.5797,-0.255,19.2545
62,2023-06-05-22:40:30,22:40:30,450.045,106.282,-62.262,-179.58280000000002,-0.2518,19.2539
63,2023-06-05-22:40:31,22:40:31,452.88100000000003,90.69200000000001,-62.262,-179.5859,-0.24810000000000001,19.253800000000002
64,2023-06-05-22:40:31,22:40:31,455.173,75.036,-62.258,-179.5872,-0.24380000000000002,19.2549
65,2023-06-05-22:40:32,22:40:32,456.968,58.969,-62.254,-179.5883,-0.24130000000000001,19.254
66,2023-06-05-22:40:33,22:40:33,458.185,42.868,-62.255,-179.58800000000002,-0.2368,19.2531
67,2023-06-05-22:40:33,22:40:33,458.841,27.0,-62.252,-179.5876,-0.2348,19.2548
68,2023-06-05-22:40:34,22:40:34,458.943,11.008000000000001,-62.254,-179.58630000000002,-0.2323,19.2534
69,2023-06-05-22:40:34,22:40:34,458.47700000000003,-4.954,-62.257,-179.5846,-0.2286,19.253500000000003
70,2023-06-05-22:40:35,22:40:35,457.493,-20.631,-62.254,-179.5823,-0.2278,19.2547
71,2023-06-05-22:40:35,22:40:35,455.926,-36.597,-62.253,-179.57930000000002,-0.2272,19.2546
72,2023-06-05-22:40:36,22:40:36,453.829,-52.248,-62.261,-179.5746,-0.22460000000000002,19.2533
73,2023-06-05-22:40:36,22:40:36,451.185,-67.914,-62.26,-179.5706,-0.2252,19.2548
74,2023-06-05-22:40:37,22:40:37,448.028,-83.34700000000001,-62.259,-179.5661,-0.22640000000000002,19.253500000000003
75,2023-06-05-22:40:37,22:40:37,444.273,-98.873,-62.264,-179.5607,-0.22590000000000002,19.2534
76,2023-06-05-22:40:38,22:40:38,439.98900000000003,-114.23100000000001,-62.27,-179.5549,-0.2277,19.2554
77,2023-06-05-22:40:38,22:40:38,435.283,-129.075,-62.27,-179.5483,-0.2296,19.2544
78,2023-06-05-22:40:39,22:40:39,430.089,-143.736,-62.27,-179.54240000000001,-0.2335,19.2534
79,2023-06-05-22:40:39,22:40:39,424.208,-158.63,-62.277,-179.5354,-0.2374,19.2543
80,2023-06-05-22:40:40,22:40:40,417.913,-173.068,-62.283,-179.5274,-0.2412,19.253600000000002
81,2023-06-05-22:40:41,22:40:41,411.076,-187.369,-62.29,-179.52,-0.2467,19.2526
82,2023-06-05-22:40:41,22:40:41,403.865,-201.195,-62.292,-179.5127,-0.2521,19.255200000000002
83,2023-06-05-22:40:42,22:40:42,396.25,-214.647,-62.295,-179.50560000000002,-0.2597,19.2541
84,2023-06-05-22:40:42,22:40:42,388.063,-228.011,-62.303000000000004,-179.49790000000002,-0.26780000000000004,19.2534
85,2023-06-05-22:40:43,22:40:43,379.423,-241.06300000000002,-62.306000000000004,-179.4897,-0.2763,19.2548
86,2023-06-05-22:40:43,22:40:43,370.413,-253.699,-62.315000000000005,-179.4819,-0.28600000000000003,19.2534
87,2023-06-05-22:40:44,22:40:44,362.108,-264.586,-62.32,-179.4753,-0.29500000000000004,19.254
88,2023-06-05-22:40:44,22:40:44,362.766,-264.992,-64.781,-179.46630000000002,-0.3099,19.2607
89,2023-06-05-22:40:45,22:40:45,365.782,-266.847,-76.85300000000001,-179.42000000000002,-0.378,19.2897
90,2023-06-05-22:40:45,22:40:45,368.552,-268.546,-89.275,-179.37730000000002,-0.4419,19.314600000000002
91,2023-06-05-22:40:46,22:40:46,371.041,-270.067,-101.96600000000001,-179.3382,-0.4999,19.3342
92,2023-06-05-22:40:46,22:40:46,373.172,-271.366,-114.532,-179.3048,-0.5506,19.3491
93,2023-06-05-22:40:47,22:40:47,375.007,-272.484,-127.34400000000001,-179.27620000000002,-0.5947,19.360300000000002
94,2023-06-05-22:40:47,22:40:47,376.50600000000003,-273.392,-140.108,-179.2526,-0.632,19.3655
95,2023-06-05-22:40:48,22:40:48,377.665,-274.09000000000003,-152.806,-179.2337,-0.6614,19.3682
96,2023-06-05-22:40:48,22:40:48,378.512,-274.596,-165.718,-179.21970000000002,-0.6838000000000001,19.3652
97,2023-06-05-22:40:49,22:40:49,379.01800000000003,-274.89300000000003,-178.351,-179.2106,-0.6979000000000001,19.3631
98,2023-06-05-22:40:50,22:40:50,379.204,-274.997,-191.272,-179.2072,-0.7044,19.355800000000002
99,2023-06-05-22:40:50,22:40:50,379.067,-274.904,-203.892,-179.20940000000002,-0.7038,19.3493
100,2023-06-05-22:40:51,22:40:51,378.592,-274.605,-216.781,-179.21550000000002,-0.6942,19.3372
101,2023-06-05-22:40:51,22:40:51,377.79900000000004,-274.11400000000003,-229.44,-179.2272,-0.6769000000000001,19.326600000000003
102,2023-06-05-22:40:52,22:40:52,376.676,-273.425,-242.14600000000002,-179.2443,-0.6509,19.315
103,2023-06-05-22:40:52,22:40:52,375.225,-272.537,-254.797,-179.26690000000002,-0.6171,19.304100000000002
104,2023-06-05-22:40:53,22:40:53,373.454,-271.458,-267.38100000000003,-179.2949,-0.5751000000000001,19.2912
105,2023-06-05-22:40:53,22:40:53,371.342,-270.174,-279.974,-179.3281,-0.524,19.279500000000002
106,2023-06-05-22:40:54,22:40:54,368.987,-268.746,-292.103,-179.3659,-0.46630000000000005,19.271
107,2023-06-05-22:40:54,22:40:54,366.193,-267.05400000000003,-304.69,-179.40980000000002,-0.39690000000000003,19.261200000000002
108,2023-06-05-22:40:55,22:40:55,363.184,-265.234,-316.702,-179.4564,-0.32120000000000004,19.2533
109,2023-06-05-22:40:55,22:40:55,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
110,2023-06-05-22:40:56,22:40:56,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
111,2023-06-05-22:40:56,22:40:56,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
112,2023-06-05-22:40:57,22:40:57,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
113,2023-06-05-22:40:58,22:40:58,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
114,2023-06-05-22:40:58,22:40:58,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
115,2023-06-05-22:40:59,22:40:59,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
116,2023-06-05-22:40:59,22:40:59,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
117,2023-06-05-22:41:00,22:41:00,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
118,2023-06-05-22:41:00,22:41:00,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
119,2023-06-05-22:41:01,22:41:01,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
120,2023-06-05-22:41:01,22:41:01,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
121,2023-06-05-22:41:02,22:41:02,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
122,2023-06-05-22:41:02,22:41:02,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
123,2023-06-05-22:41:03,22:41:03,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
124,2023-06-05-22:41:03,22:41:03,362.109,-264.585,-320.718,-179.4742,-0.29450000000000004,19.250700000000002
